Vds	V(vsd)	V(vsg)	Id(M1)	Is(M1)
Step Information: Vgs=2.5  (Step: 1/3)
2.000000000000000e+00	3.000000e+00	2.000000e+00	-8.000001e-05	8.000001e-05
2.100000000000000e+00	2.900000e+00	2.000000e+00	-8.190001e-05	8.190001e-05
2.200000000000000e+00	2.800000e+00	2.000000e+00	-8.360000e-05	8.360000e-05
2.300000000000000e+00	2.700000e+00	2.000000e+00	-8.510001e-05	8.510000e-05
2.400000000000000e+00	2.600000e+00	2.000000e+00	-8.640000e-05	8.640000e-05
2.500000000000000e+00	2.500000e+00	2.000000e+00	-8.750000e-05	8.750000e-05
2.600000000000000e+00	2.400000e+00	2.000000e+00	-8.840000e-05	8.840000e-05
2.700000000000000e+00	2.300000e+00	2.000000e+00	-8.910000e-05	8.910000e-05
2.800000000000000e+00	2.200000e+00	2.000000e+00	-8.960001e-05	8.960001e-05
2.900000000000000e+00	2.100000e+00	2.000000e+00	-8.990001e-05	8.990000e-05
3.000000000000000e+00	2.000000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.100000000000000e+00	1.900000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.200000000000000e+00	1.800000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.300000000000000e+00	1.700000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.400000000000000e+00	1.600000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.500000000000000e+00	1.500000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.600000000000000e+00	1.400000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.700000000000000e+00	1.300000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.800000000000000e+00	1.200000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
3.900000000000000e+00	1.100000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
4.000000000000000e+00	1.000000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
4.100000000000001e+00	9.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.200000000000000e+00	8.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.300000000000000e+00	7.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.400000000000000e+00	6.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.500000000000000e+00	5.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.600000000000001e+00	4.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.700000000000000e+00	3.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.800000000000001e+00	2.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
4.900000000000000e+00	1.000000e-01	2.000000e+00	-9.000001e-05	9.000000e-05
5.000000000000000e+00	0.000000e+00	2.000000e+00	-9.000001e-05	9.000000e-05
Step Information: Vgs=3.5  (Step: 3/3)
0.000000000000000e+00	5.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	4.900000e+00	1.500000e+00	-6.900000e-06	6.900000e-06
2.000000000000000e-01	4.800000e+00	1.500000e+00	-1.360000e-05	1.360000e-05
3.000000000000000e-01	4.700000e+00	1.500000e+00	-2.010000e-05	2.010000e-05
4.000000000000000e-01	4.600000e+00	1.500000e+00	-2.640000e-05	2.640000e-05
5.000000000000000e-01	4.500000e+00	1.500000e+00	-3.250000e-05	3.250000e-05
6.000000000000001e-01	4.400000e+00	1.500000e+00	-3.840000e-05	3.840000e-05
7.000000000000001e-01	4.300000e+00	1.500000e+00	-4.410000e-05	4.410000e-05
8.000000000000000e-01	4.200000e+00	1.500000e+00	-4.960000e-05	4.960000e-05
9.000000000000000e-01	4.100000e+00	1.500000e+00	-5.490000e-05	5.490000e-05
1.000000000000000e+00	4.000000e+00	1.500000e+00	-6.000000e-05	6.000000e-05
1.100000000000000e+00	3.900000e+00	1.500000e+00	-6.490000e-05	6.490000e-05
1.200000000000000e+00	3.800000e+00	1.500000e+00	-6.960000e-05	6.960000e-05
1.300000000000000e+00	3.700000e+00	1.500000e+00	-7.410000e-05	7.410000e-05
1.400000000000000e+00	3.600000e+00	1.500000e+00	-7.840000e-05	7.840000e-05
1.500000000000000e+00	3.500000e+00	1.500000e+00	-8.250000e-05	8.250000e-05
1.600000000000000e+00	3.400000e+00	1.500000e+00	-8.640000e-05	8.640000e-05
1.700000000000000e+00	3.300000e+00	1.500000e+00	-9.010000e-05	9.010000e-05
1.800000000000000e+00	3.200000e+00	1.500000e+00	-9.360001e-05	9.360000e-05
1.900000000000000e+00	3.100000e+00	1.500000e+00	-9.690000e-05	9.690000e-05
2.000000000000000e+00	3.000000e+00	1.500000e+00	-1.000000e-04	1.000000e-04
2.100000000000000e+00	2.900000e+00	1.500000e+00	-1.029000e-04	1.029000e-04
2.200000000000000e+00	2.800000e+00	1.500000e+00	-1.056000e-04	1.056000e-04
2.300000000000000e+00	2.700000e+00	1.500000e+00	-1.081000e-04	1.081000e-04
2.400000000000000e+00	2.600000e+00	1.500000e+00	-1.104000e-04	1.104000e-04
2.500000000000000e+00	2.500000e+00	1.500000e+00	-1.125000e-04	1.125000e-04
2.600000000000000e+00	2.400000e+00	1.500000e+00	-1.144000e-04	1.144000e-04
2.700000000000000e+00	2.300000e+00	1.500000e+00	-1.161000e-04	1.161000e-04
2.800000000000000e+00	2.200000e+00	1.500000e+00	-1.176000e-04	1.176000e-04
2.900000000000000e+00	2.100000e+00	1.500000e+00	-1.189000e-04	1.189000e-04
3.000000000000000e+00	2.000000e+00	1.500000e+00	-1.200000e-04	1.200000e-04
3.100000000000000e+00	1.900000e+00	1.500000e+00	-1.209000e-04	1.209000e-04
3.200000000000000e+00	1.800000e+00	1.500000e+00	-1.216000e-04	1.216000e-04
3.300000000000000e+00	1.700000e+00	1.500000e+00	-1.221000e-04	1.221000e-04
3.400000000000000e+00	1.600000e+00	1.500000e+00	-1.224000e-04	1.224000e-04
3.500000000000000e+00	1.500000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
