time	V(vds)	V(vgs)	V(vo)	Id(M1)
2.114788086685491e-04	1.154068e+01	4.828836e-03	-1.419474e-03	9.691402e-04
2.163616211685491e-04	1.154067e+01	4.863089e-03	-1.429425e-03	9.691440e-04
2.212444336685491e-04	1.154066e+01	4.892767e-03	-1.438208e-03	9.691474e-04
2.261272461685491e-04	1.154065e+01	4.917835e-03	-1.445457e-03	9.691501e-04
2.310100586685491e-04	1.154064e+01	4.938276e-03	-1.451522e-03	9.691524e-04
2.358928711685491e-04	1.154064e+01	4.954065e-03	-1.456042e-03	9.691542e-04
2.407756836685491e-04	1.154064e+01	4.965193e-03	-1.459368e-03	9.691554e-04
2.456584961685491e-04	1.154063e+01	4.971643e-03	-1.461140e-03	9.691561e-04
2.505413086685491e-04	1.154063e+01	4.973415e-03	-1.461714e-03	9.691563e-04
2.554241211685491e-04	1.154064e+01	4.970502e-03	-1.460733e-03	9.691559e-04
2.603069336685491e-04	1.154064e+01	4.962912e-03	-1.458553e-03	9.691551e-04
2.651897461685491e-04	1.154064e+01	4.950646e-03	-1.454821e-03	9.691537e-04
2.700725586685491e-04	1.154065e+01	4.933724e-03	-1.449896e-03	9.691518e-04
2.749553711685491e-04	1.154065e+01	4.912152e-03	-1.443427e-03	9.691494e-04
2.798381836685491e-04	1.154066e+01	4.885959e-03	-1.435776e-03	9.691465e-04
2.847209961685492e-04	1.154067e+01	4.855163e-03	-1.426595e-03	9.691430e-04
2.896038086685492e-04	1.154068e+01	4.819799e-03	-1.416247e-03	9.691390e-04
2.944866211685492e-04	1.154069e+01	4.779894e-03	-1.404386e-03	9.691346e-04
2.993694336685492e-04	1.154070e+01	4.735492e-03	-1.391380e-03	9.691296e-04
3.042522461685492e-04	1.154072e+01	4.686628e-03	-1.376885e-03	9.691241e-04
3.091350586685492e-04	1.154073e+01	4.633355e-03	-1.361271e-03	9.691182e-04
3.140178711685492e-04	1.154075e+01	4.575716e-03	-1.344196e-03	9.691117e-04
3.189006836685492e-04	1.154077e+01	4.513773e-03	-1.326032e-03	9.691048e-04
3.237834961685492e-04	1.154079e+01	4.447577e-03	-1.306441e-03	9.690974e-04
3.286663086685492e-04	1.154081e+01	4.377196e-03	-1.285796e-03	9.690895e-04
3.335491211685492e-04	1.154083e+01	4.302691e-03	-1.263762e-03	9.690811e-04
3.384319336685492e-04	1.154085e+01	4.224138e-03	-1.240715e-03	9.690724e-04
3.433147461685492e-04	1.154088e+01	4.141605e-03	-1.216320e-03	9.690631e-04
3.481975586685492e-04	1.154090e+01	4.055175e-03	-1.190958e-03	9.690535e-04
3.530803711685492e-04	1.154093e+01	3.964924e-03	-1.164294e-03	9.690434e-04
3.579631836685492e-04	1.154096e+01	3.870943e-03	-1.136712e-03	9.690329e-04
3.628459961685492e-04	1.154099e+01	3.773313e-03	-1.107880e-03	9.690219e-04
3.677288086685492e-04	1.154102e+01	3.672135e-03	-1.078182e-03	9.690106e-04
3.726116211685492e-04	1.154105e+01	3.567495e-03	-1.047289e-03	9.689989e-04
3.774944336685492e-04	1.154108e+01	3.459500e-03	-1.015587e-03	9.689868e-04
3.823772461685492e-04	1.154111e+01	3.348243e-03	-9.827502e-04	9.689744e-04
3.872600586685492e-04	1.154115e+01	3.233837e-03	-9.491646e-04	9.689616e-04
3.921428711685492e-04	1.154118e+01	3.116383e-03	-9.145059e-04	9.689484e-04
3.970256836685493e-04	1.154122e+01	2.995997e-03	-8.791632e-04	9.689350e-04
4.019084961685493e-04	1.154125e+01	2.872787e-03	-8.428133e-04	9.689212e-04
4.067913086685493e-04	1.154129e+01	2.746875e-03	-8.058466e-04	9.689071e-04
4.116741211685493e-04	1.154133e+01	2.618372e-03	-7.679419e-04	9.688927e-04
4.165569336685493e-04	1.154137e+01	2.487407e-03	-7.294910e-04	9.688781e-04
4.214397461685493e-04	1.154140e+01	2.354096e-03	-6.901739e-04	9.688631e-04
4.263225586685493e-04	1.154144e+01	2.218571e-03	-6.503835e-04	9.688481e-04
4.312053711685493e-04	1.154148e+01	2.080953e-03	-6.098016e-04	9.688326e-04
4.360881836685493e-04	1.154153e+01	1.941379e-03	-5.688220e-04	9.688170e-04
4.409709961685493e-04	1.154157e+01	1.799972e-03	-5.271276e-04	9.688012e-04
4.458538086685493e-04	1.154161e+01	1.656873e-03	-4.851134e-04	9.687853e-04
4.507366211685493e-04	1.154165e+01	1.512210e-03	-4.424632e-04	9.687690e-04
4.556194336685493e-04	1.154170e+01	1.366125e-03	-3.995729e-04	9.687527e-04
4.605022461685493e-04	1.154174e+01	1.218750e-03	-3.561271e-04	9.687362e-04
4.653850586685493e-04	1.154178e+01	1.070229e-03	-3.125224e-04	9.687197e-04
4.702678711685493e-04	1.154183e+01	9.206962e-04	-2.684440e-04	9.687029e-04
4.751506836685493e-04	1.154187e+01	7.702988e-04	-2.242893e-04	9.686861e-04
4.800334961685493e-04	1.154191e+01	6.191711e-04	-1.797441e-04	9.686692e-04
4.849163086685493e-04	1.154196e+01	4.674628e-04	-1.352060e-04	9.686523e-04
4.897991211685493e-04	1.154200e+01	3.153092e-04	-9.036118e-05	9.686352e-04
4.946819336685493e-04	1.154205e+01	1.628611e-04	-4.560767e-05	9.686182e-04
4.995647461685493e-04	1.154209e+01	1.025434e-05	-6.315911e-07	9.686011e-04
5.044475586685493e-04	1.154214e+01	-1.423599e-04	4.416855e-05	9.685840e-04
5.093303711685494e-04	1.154218e+01	-2.948455e-04	8.910668e-05	9.685670e-04
5.142131836685494e-04	1.154223e+01	-4.470514e-04	1.337846e-04	9.685500e-04
5.190959961685494e-04	1.154227e+01	-5.988419e-04	1.785163e-04	9.685330e-04
5.239788086685494e-04	1.154232e+01	-7.500666e-04	2.229035e-04	9.685161e-04
5.288616211685494e-04	1.154236e+01	-9.005906e-04	2.672605e-04	9.684992e-04
5.337444336685494e-04	1.154241e+01	-1.050265e-03	3.111894e-04	9.684826e-04
5.386272461685494e-04	1.154245e+01	-1.198956e-03	3.550051e-04	9.684659e-04
5.435100586685494e-04	1.154249e+01	-1.346517e-03	3.983102e-04	9.684495e-04
5.483928711685494e-04	1.154254e+01	-1.492815e-03	4.414201e-04	9.684330e-04
5.532756836685494e-04	1.154258e+01	-1.637707e-03	4.839381e-04	9.684169e-04
5.581584961685494e-04	1.154262e+01	-1.781062e-03	5.261802e-04	9.684008e-04
5.630413086685494e-04	1.154266e+01	-1.922739e-03	5.677507e-04	9.683850e-04
5.679241211685494e-04	1.154270e+01	-2.062612e-03	6.089664e-04	9.683694e-04
5.728069336685494e-04	1.154274e+01	-2.200541e-03	6.494325e-04	9.683540e-04
5.776897461685494e-04	1.154278e+01	-2.336405e-03	6.894669e-04	9.683387e-04
5.825725586685494e-04	1.154282e+01	-2.470067e-03	7.286761e-04	9.683238e-04
5.874553711685494e-04	1.154286e+01	-2.601410e-03	7.673791e-04	9.683091e-04
5.923381836685494e-04	1.154290e+01	-2.730302e-03	8.051833e-04	9.682947e-04
5.972209961685494e-04	1.154294e+01	-2.856630e-03	8.424093e-04	9.682806e-04
6.021038086685494e-04	1.154297e+01	-2.980268e-03	8.786661e-04	9.682668e-04
