time	V(vds)	V(vgs)	V(vo)	Id(M1)
0.000000000000000e+00	1.407557e+01	0.000000e+00	6.615518e-12	1.092706e-03
4.882812557061023e-11	1.407557e+01	2.649728e-09	6.487773e-07	1.092706e-03
9.765625114122045e-11	1.407557e+01	3.124667e-09	6.931288e-07	1.092706e-03
1.953125022824409e-10	1.407557e+01	5.912318e-09	6.512627e-07	1.092706e-03
3.906250045648818e-10	1.407557e+01	1.137363e-08	-4.444097e-07	1.092706e-03
7.812500091297636e-10	1.407557e+01	2.530285e-08	-2.190901e-07	1.092706e-03
1.562500018259527e-09	1.407557e+01	4.795217e-08	-5.546966e-08	1.092706e-03
3.125000036519054e-09	1.407557e+01	9.854117e-08	8.501637e-08	1.092706e-03
6.250000073038109e-09	1.407557e+01	1.944642e-07	7.582729e-09	1.092706e-03
1.250000014607622e-08	1.407557e+01	3.916010e-07	-7.086345e-08	1.092706e-03
2.500000029215244e-08	1.407557e+01	7.805852e-07	-6.625267e-08	1.092706e-03
5.000000058430487e-08	1.407557e+01	1.563836e-06	-1.795365e-07	1.092707e-03
1.000000011686097e-07	1.407557e+01	3.125057e-06	-3.090041e-07	1.092707e-03
2.000000023372195e-07	1.407557e+01	6.252777e-06	-6.536446e-07	1.092707e-03
4.000000046744390e-07	1.407557e+01	1.250293e-05	-1.269360e-06	1.092708e-03
8.000000093488779e-07	1.407557e+01	2.500843e-05	-2.577443e-06	1.092710e-03
1.600000018697756e-06	1.407557e+01	5.001358e-05	-5.115240e-06	1.092713e-03
3.200000037395512e-06	1.407556e+01	1.000246e-04	-1.026972e-05	1.092719e-03
6.400000074791024e-06	1.407555e+01	2.000055e-04	-2.049491e-05	1.092733e-03
1.128281257479102e-05	1.407553e+01	3.523978e-04	-3.614676e-05	1.092753e-03
1.616562507479103e-05	1.407552e+01	5.044534e-04	-5.171052e-05	1.092773e-03
2.104843757479103e-05	1.407550e+01	6.560362e-04	-6.727830e-05	1.092793e-03
2.593125007479103e-05	1.407549e+01	8.069965e-04	-8.272867e-05	1.092812e-03
3.081406257479102e-05	1.407547e+01	9.571991e-04	-9.815386e-05	1.092832e-03
3.569687507479102e-05	1.407546e+01	1.106496e-03	-1.134326e-04	1.092852e-03
