Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
17:45:51.644740,0,0.0,2.968904e-11
17:45:53.483885,0,0.2,1.003575e-11
17:45:54.759118,0,0.4,6.113052e-10
17:45:55.846096,0,0.6000000000000001,2.591521e-10
17:45:57.544135,0,0.8,2.277279e-10
17:45:59.326187,0,1.0,8.536869e-11
17:46:00.602119,0,1.2000000000000002,1.713776e-10
17:46:01.691133,0,1.4000000000000001,5.004316e-11
17:46:03.386761,0,1.6,-2.844958e-12
17:46:05.165869,0,1.8,1.57597e-11
17:46:06.948879,0,2.0,1.392322e-11
17:46:08.224226,0,2.2,3.032534e-11
17:46:09.311686,0,2.4000000000000004,7.908646e-11
17:46:11.005076,0,2.6,6.294381e-12
17:46:12.787984,0,2.8000000000000003,-5.046191e-11
17:46:14.569497,0,3.0,3.06869e-11
17:46:16.351477,0,3.2,1.665254e-11
17:46:18.140090,0,3.4000000000000004,6.370252e-12
17:46:19.918967,0,3.6,1.009346e-11
17:46:21.699924,0,3.8000000000000003,2.029973e-11
17:46:23.484063,0,4.0,1.111467e-11
17:46:25.264145,0,4.2,3.965773e-12
17:46:27.047020,0,4.4,1.078647e-10
17:46:28.322502,0,4.6000000000000005,1.340848e-10
17:46:29.416528,0,4.800000000000001,2.850442e-11
17:46:31.113539,0,5.0,-1.218901e-10
17:46:33.894934,1,0.0,-1.083431e-08
17:46:34.981752,1,0.2,8.674829e-08
17:46:36.575224,1,0.4,8.730498e-08
17:46:37.865713,1,0.6000000000000001,8.800389e-08
17:46:38.952116,1,0.8,8.794711e-08
17:46:40.040090,1,1.0,8.762324e-08
17:46:41.127264,1,1.2000000000000002,8.843767e-08
17:46:42.216402,1,1.4000000000000001,8.864752e-08
17:46:43.306948,1,1.6,8.869107e-08
17:46:44.395154,1,1.8,8.884566e-08
17:46:45.486583,1,2.0,8.896311e-08
17:46:46.575226,1,2.2,8.940071e-08
17:46:47.668291,1,2.4000000000000004,8.886639e-08
17:46:48.757805,1,2.6,8.932981e-08
17:46:49.847132,1,2.8000000000000003,8.961276e-08
17:46:50.936053,1,3.0,8.964187e-08
17:46:52.023358,1,3.2,8.959372e-08
17:46:53.619933,1,3.4000000000000004,9.014167e-08
17:46:55.241964,1,3.6,8.987814e-08
17:46:56.859782,1,3.8000000000000003,9.032273e-08
17:46:58.480136,1,4.0,9.042449e-08
17:47:00.097743,1,4.2,9.040166e-08
17:47:01.390695,1,4.4,9.061917e-08
17:47:02.479357,1,4.6000000000000005,9.04439e-08
17:47:03.567115,1,4.800000000000001,9.082763e-08
17:47:05.165191,1,5.0,9.067382e-08
17:47:07.786917,2,0.0,-2.60866e-07
17:47:08.874747,2,0.2,0.000174155
17:47:10.120361,2,0.4,0.0002360961
17:47:11.211161,2,0.6000000000000001,0.0002477158
17:47:12.297876,2,0.8,0.0002508753
17:47:13.385112,2,1.0,0.0002526412
17:47:14.472522,2,1.2000000000000002,0.0002538365
17:47:15.561035,2,1.4000000000000001,0.0002547503
17:47:16.655371,2,1.6,0.0002555567
17:47:17.744443,2,1.8,0.0002562852
17:47:18.836810,2,2.0,0.0002568881
17:47:19.925525,2,2.2,0.0002574399
17:47:21.014023,2,2.4000000000000004,0.0002579782
17:47:22.107865,2,2.6,0.000258499
17:47:23.196150,2,2.8000000000000003,0.0002589468
17:47:24.283012,2,3.0,0.0002593806
17:47:25.371695,2,3.2,0.0002598217
17:47:26.460575,2,3.4000000000000004,0.000260229
17:47:27.549503,2,3.6,0.0002606588
17:47:28.638026,2,3.8000000000000003,0.0002609843
17:47:29.732708,2,4.0,0.0002613563
17:47:30.821575,2,4.2,0.0002617007
17:47:31.916750,2,4.4,0.0002620544
17:47:33.006150,2,4.6000000000000005,0.0002624019
17:47:34.096163,2,4.800000000000001,0.0002626815
17:47:35.184060,2,5.0,0.0002630325
17:47:37.276259,3,0.0,-2.126368e-07
17:47:38.536339,3,0.2,0.0004471829
17:47:39.781467,3,0.4,0.0007939396
17:47:40.867781,3,0.6000000000000001,0.001038812
17:47:41.958391,3,0.8,0.001187655
17:47:43.282246,3,1.0,0.001260881
17:47:44.378702,3,1.2000000000000002,0.001292375
17:47:45.468293,3,1.4000000000000001,0.001307678
17:47:46.558417,3,1.6,0.00131714
17:47:47.647635,3,1.8,0.001323733
17:47:48.736755,3,2.0,0.001329012
17:47:49.829924,3,2.2,0.001333317
17:47:50.919195,3,2.4000000000000004,0.001337055
17:47:52.009299,3,2.6,0.001340369
17:47:53.102004,3,2.8000000000000003,0.001343257
17:47:54.191532,3,3.0,0.001346011
17:47:55.286011,3,3.2,0.001348543
17:47:56.372433,3,3.4000000000000004,0.001350881
17:47:57.461203,3,3.6,0.001353133
17:47:58.550752,3,3.8000000000000003,0.00135515
17:47:59.640616,3,4.0,0.001357171
17:48:00.730647,3,4.2,0.001358969
17:48:01.819650,3,4.4,0.001360864
17:48:02.908065,3,4.6000000000000005,0.001362566
17:48:03.994940,3,4.800000000000001,0.001364249
17:48:05.084629,3,5.0,0.001365915
