V(vds)	Id(M1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	-1.960000e-05
2.000000000000000e-01	-3.840000e-05
3.000000000000000e-01	-5.640000e-05
4.000000000000000e-01	-7.360000e-05
5.000000000000000e-01	-9.000000e-05
6.000000000000001e-01	-1.056000e-04
7.000000000000001e-01	-1.204000e-04
8.000000000000000e-01	-1.344000e-04
9.000000000000000e-01	-1.476000e-04
1.000000000000000e+00	-1.600000e-04
1.100000000000000e+00	-1.716000e-04
1.200000000000000e+00	-1.824000e-04
1.300000000000000e+00	-1.924000e-04
1.400000000000000e+00	-2.016000e-04
1.500000000000000e+00	-2.100000e-04
1.600000000000000e+00	-2.176000e-04
1.700000000000000e+00	-2.244000e-04
1.800000000000000e+00	-2.304000e-04
1.900000000000000e+00	-2.356000e-04
2.000000000000000e+00	-2.400000e-04
2.100000000000000e+00	-2.436000e-04
2.200000000000000e+00	-2.464000e-04
2.300000000000000e+00	-2.484000e-04
2.400000000000000e+00	-2.496000e-04
2.500000000000000e+00	-2.500000e-04
2.600000000000000e+00	-2.500000e-04
2.700000000000000e+00	-2.500000e-04
2.800000000000000e+00	-2.500000e-04
2.900000000000000e+00	-2.500000e-04
3.000000000000000e+00	-2.500000e-04
3.100000000000000e+00	-2.500000e-04
3.200000000000000e+00	-2.500000e-04
3.300000000000000e+00	-2.500000e-04
3.400000000000000e+00	-2.500000e-04
3.500000000000000e+00	-2.500000e-04
3.600000000000000e+00	-2.500000e-04
3.700000000000000e+00	-2.500000e-04
3.800000000000000e+00	-2.500000e-04
3.900000000000000e+00	-2.500000e-04
4.000000000000000e+00	-2.500000e-04
4.100000000000001e+00	-2.500000e-04
4.200000000000000e+00	-2.500000e-04
4.300000000000000e+00	-2.500000e-04
4.400000000000000e+00	-2.500000e-04
4.500000000000000e+00	-2.500000e-04
4.600000000000001e+00	-2.500000e-04
4.700000000000000e+00	-2.500000e-04
4.800000000000001e+00	-2.500000e-04
4.900000000000000e+00	-2.500000e-04
5.000000000000000e+00	-2.500000e-04
