time	V(vo)	V(Vgs)	Ig
1.350690625149583e-03	-2.560132e-03	4.009570e-03	8.330534e-04
1.370221875149583e-03	-2.309545e-03	3.619138e-03	8.329356e-04
1.389753125149583e-03	-2.024143e-03	3.174245e-03	8.328016e-04
1.409284375149583e-03	-1.708229e-03	2.681584e-03	8.326531e-04
1.428815625149583e-03	-1.366564e-03	2.148564e-03	8.324926e-04
1.458112500149583e-03	-8.171272e-04	1.291035e-03	8.322345e-04
1.487409375149583e-03	-2.399888e-04	3.898267e-04	8.319633e-04
1.497175000149583e-03	-4.299004e-05	8.211011e-05	8.318707e-04
1.506940625149583e-03	1.523601e-04	-2.230783e-04	8.317789e-04
1.516706250149583e-03	3.460617e-04	-5.257386e-04	8.316878e-04
1.526471875149583e-03	5.381146e-04	-8.258706e-04	8.315976e-04
1.536237500149583e-03	7.285189e-04	-1.123475e-03	8.315081e-04
1.546003125149583e-03	9.172746e-04	-1.418550e-03	8.314194e-04
1.555768750149583e-03	1.104382e-03	-1.711098e-03	8.313315e-04
1.575300000149583e-03	1.461864e-03	-2.270173e-03	8.311635e-04
1.594831250149583e-03	1.797410e-03	-2.795127e-03	8.310057e-04
1.614362500149583e-03	2.105981e-03	-3.278065e-03	8.308607e-04
1.633893750149583e-03	2.382946e-03	-3.711724e-03	8.307305e-04
1.653425000149583e-03	2.624148e-03	-4.089579e-03	8.306171e-04
1.672956250149583e-03	2.825968e-03	-4.405949e-03	8.305222e-04
1.692487500149583e-03	2.985380e-03	-4.656074e-03	8.304472e-04
1.712018750149583e-03	3.099993e-03	-4.836193e-03	8.303933e-04
1.731550000149583e-03	3.168088e-03	-4.943596e-03	8.303613e-04
1.751081250149583e-03	3.188644e-03	-4.976667e-03	8.303515e-04
1.770612500149583e-03	3.161353e-03	-4.934910e-03	8.303643e-04
1.790143750149583e-03	3.086625e-03	-4.818953e-03	8.303994e-04
1.809675000149583e-03	2.965579e-03	-4.630539e-03	8.304562e-04
1.829206250149583e-03	2.800031e-03	-4.372503e-03	8.305339e-04
1.848737500149583e-03	2.592463e-03	-4.048725e-03	8.306314e-04
1.868268750149583e-03	2.345988e-03	-3.664076e-03	8.307472e-04
1.887800000149583e-03	2.064305e-03	-3.224341e-03	8.308795e-04
1.907331250149584e-03	1.751641e-03	-2.736133e-03	8.310264e-04
1.926862500149584e-03	1.412690e-03	-2.206797e-03	8.311857e-04
1.956159375149584e-03	8.661964e-04	-1.353232e-03	8.314424e-04
1.985456250149583e-03	2.905274e-04	-4.539996e-04	8.317130e-04
1.995221875149583e-03	9.367239e-05	-1.464824e-04	8.318055e-04
2.004987500149583e-03	-1.017041e-04	1.587336e-04	8.318973e-04
2.014753125149582e-03	-2.956019e-04	4.616483e-04	8.319884e-04
2.024518750149582e-03	-4.880212e-04	7.622618e-04	8.320788e-04
2.034284375149582e-03	-6.789620e-04	1.060574e-03	8.321685e-04
2.044050000149582e-03	-8.684242e-04	1.356585e-03	8.322576e-04
