V(vce)	Ic(Q1)
0.000000000000000e+00	-1.600586e-01
1.000000000000000e-01	-1.700586e-01
2.000000000000000e-01	-1.800586e-01
3.000000000000000e-01	-1.900586e-01
4.000000000000000e-01	-2.000586e-01
5.000000000000000e-01	-2.100586e-01
6.000000000000001e-01	-2.200586e-01
7.000000000000001e-01	-2.300586e-01
8.000000000000000e-01	-2.400586e-01
9.000000000000000e-01	-2.500586e-01
1.000000000000000e+00	-2.600586e-01
1.100000000000000e+00	-2.700586e-01
1.200000000000000e+00	-2.800586e-01
1.300000000000000e+00	-2.900586e-01
1.400000000000000e+00	-3.000586e-01
1.500000000000000e+00	-3.100586e-01
1.600000000000000e+00	-3.200586e-01
1.700000000000000e+00	-3.300586e-01
1.800000000000000e+00	-3.400586e-01
1.900000000000000e+00	-3.500586e-01
2.000000000000000e+00	-3.600586e-01
