Vsd,Id
0.0,2.446988e-12
0.5,-6.273157e-07
1.0,-6.49255e-07
1.5,-6.695521e-07
2.0,-6.89894e-07
2.5,-7.103113e-07
3.0,-7.308671e-07
3.5,-7.516005e-07
4.0,-7.725367e-07
4.5,-7.936928e-07
5.0,-8.150818e-07
