Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
14:07:12.033284,2.5,0.0,-2.412077e-08
14:07:13.754426,2.5,0.5,0.000593279
14:07:15.619501,2.5,1.0,0.0006801923
14:07:16.715973,2.5,1.5,0.0006919166
14:07:17.815454,2.5,2.0,0.0006978778
14:07:18.916783,2.5,2.5,0.0007021289
14:07:20.016417,2.5,3.0,0.0007056385
14:07:21.114021,2.5,3.5,0.0007086049
14:07:23.216181,3.0,0.0,-1.000556e-08
14:07:24.524467,3.0,0.5,0.0009398097
14:07:26.548294,3.0,1.0,0.001264866
14:07:27.883067,3.0,1.5,0.001315129
14:07:28.976822,3.0,2.0,0.001331183
14:07:30.077022,3.0,2.5,0.001340929
14:07:31.177893,3.0,3.0,0.001348328
14:07:32.278961,3.0,3.5,0.001354322
14:07:34.380384,3.5,0.0,-1.467322e-08
14:07:36.495324,3.5,0.5,0.001246996
14:07:38.365428,3.5,1.0,0.001893273
14:07:39.464333,3.5,1.5,0.002076784
14:07:40.563655,3.5,2.0,0.002119385
14:07:41.659912,3.5,2.5,0.002139374
14:07:42.757909,3.5,3.0,0.002152867
14:07:43.854402,3.5,3.5,0.002163167
