Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
14:17:18.832855,2.5,0.0,-1.397272e-08
14:17:20.317141,2.5,0.5,0.0002734269
14:17:22.181823,2.5,1.0,0.0003569211
14:17:23.279601,2.5,1.5,0.0003844863
14:17:24.381339,2.5,2.0,0.000404936
14:17:25.482553,2.5,2.5,0.0004228454
14:17:26.581948,2.5,3.0,0.000439274
14:17:27.680618,2.5,3.5,0.0004547322
14:17:29.780332,3.0,0.0,-9.281157e-09
14:17:31.224881,3.0,0.5,0.0004571489
14:17:33.235712,3.0,1.0,0.0007060127
14:17:34.334278,3.0,1.5,0.0008054969
14:17:35.433923,3.0,2.0,0.0008545515
14:17:36.533573,3.0,2.5,0.0008925847
14:17:37.627478,3.0,3.0,0.0009260784
14:17:38.733245,3.0,3.5,0.0009567935
14:17:40.833993,3.5,0.0,-9.298406e-09
14:17:42.780799,3.5,0.5,0.0006225434
14:17:44.643395,3.5,1.0,0.001046895
14:17:45.741686,3.5,1.5,0.001290752
14:17:47.073020,3.5,2.0,0.001409886
14:17:48.169640,3.5,2.5,0.00148117
14:17:49.269421,3.5,3.0,0.001538261
14:17:50.371225,3.5,3.5,0.001588744
