time	V(n002)	V(n004)	Id(M1)
2.944859375747912e-04	-1.195799e-03	4.779902e-03	8.300912e-04
2.993687500747912e-04	-1.184546e-03	4.735496e-03	8.300861e-04
3.042515625747912e-04	-1.172383e-03	4.686637e-03	8.300805e-04
3.091343750747912e-04	-1.158910e-03	4.633361e-03	8.300743e-04
3.140171875747912e-04	-1.144550e-03	4.575727e-03	8.300678e-04
3.189000000747912e-04	-1.128906e-03	4.513780e-03	8.300606e-04
3.237828125747912e-04	-1.112404e-03	4.447588e-03	8.300531e-04
3.286656250747912e-04	-1.094648e-03	4.377204e-03	8.300450e-04
3.335484375747912e-04	-1.076066e-03	4.302704e-03	8.300365e-04
3.384312500747912e-04	-1.056264e-03	4.224147e-03	8.300274e-04
3.433140625747912e-04	-1.035672e-03	4.141618e-03	8.300180e-04
3.481968750747912e-04	-1.013899e-03	4.055185e-03	8.300081e-04
3.530796875747912e-04	-9.913757e-04	3.964939e-03	8.299978e-04
3.579625000747912e-04	-9.677124e-04	3.870954e-03	8.299869e-04
3.628453125747912e-04	-9.433425e-04	3.773329e-03	8.299758e-04
3.677281250747912e-04	-9.178779e-04	3.672147e-03	8.299642e-04
3.726109375747912e-04	-8.917536e-04	3.567512e-03	8.299522e-04
3.774937500747912e-04	-8.645831e-04	3.459513e-03	8.299398e-04
3.823765625747912e-04	-8.368031e-04	3.348261e-03	8.299272e-04
3.872593750747913e-04	-8.080287e-04	3.233852e-03	8.299140e-04
3.921421875747913e-04	-7.786979e-04	3.116401e-03	8.299006e-04
3.970250000747913e-04	-7.484273e-04	2.996012e-03	8.298868e-04
4.019078125747913e-04	-7.176566e-04	2.872806e-03	8.298727e-04
4.067906250747913e-04	-6.860035e-04	2.746891e-03	8.298582e-04
4.116734375747913e-04	-6.539089e-04	2.618392e-03	8.298436e-04
4.165562500747913e-04	-6.209920e-04	2.487424e-03	8.298285e-04
4.214390625747913e-04	-5.876949e-04	2.354117e-03	8.298133e-04
4.263218750747913e-04	-5.536377e-04	2.218588e-03	8.297977e-04
4.312046875747913e-04	-5.192636e-04	2.080975e-03	8.297820e-04
4.360875000747913e-04	-4.841939e-04	1.941397e-03	8.297660e-04
4.409703125747913e-04	-4.488727e-04	1.799994e-03	8.297498e-04
4.458531250747913e-04	-4.129221e-04	1.656891e-03	8.297334e-04
4.507359375747913e-04	-3.767871e-04	1.512232e-03	8.297169e-04
4.556187500747913e-04	-3.400905e-04	1.366144e-03	8.297001e-04
4.605015625747913e-04	-3.032781e-04	1.218772e-03	8.296833e-04
4.653843750747913e-04	-2.659732e-04	1.070248e-03	8.296662e-04
4.702671875747913e-04	-2.286222e-04	9.207192e-04	8.296492e-04
4.751500000747913e-04	-1.908492e-04	7.703179e-04	8.296319e-04
4.800328125747913e-04	-1.531007e-04	6.191944e-04	8.296146e-04
4.849156250747913e-04	-1.150012e-04	4.674820e-04	8.295972e-04
4.897984375747913e-04	-7.699775e-05	3.153326e-04	8.295798e-04
4.946812500747913e-04	-3.871467e-05	1.628804e-04	8.295623e-04
4.995640625747914e-04	-5.995121e-07	1.027774e-05	8.295449e-04
5.044468750747914e-04	3.772314e-05	-1.423406e-04	8.295274e-04
5.093296875747914e-04	7.580606e-05	-2.948221e-04	8.295100e-04
5.142125000747914e-04	1.140247e-04	-4.470322e-04	8.294925e-04
5.190953125747914e-04	1.519317e-04	-5.988186e-04	8.294752e-04
5.239781250747914e-04	1.899028e-04	-7.500475e-04	8.294578e-04
5.288609375747914e-04	2.274909e-04	-9.005676e-04	8.294407e-04
5.337437500747914e-04	2.650718e-04	-1.050246e-03	8.294234e-04
5.386265625747914e-04	3.021989e-04	-1.198933e-03	8.294065e-04
5.435093750747914e-04	3.392487e-04	-1.346498e-03	8.293896e-04
5.483921875747914e-04	3.757749e-04	-1.492793e-03	8.293728e-04
5.532750000747914e-04	4.121544e-04	-1.637689e-03	8.293562e-04
5.581578125747914e-04	4.479418e-04	-1.781040e-03	8.293398e-04
5.630406250747914e-04	4.835145e-04	-1.922722e-03	8.293236e-04
5.679234375747914e-04	5.184280e-04	-2.062590e-03	8.293077e-04
5.728062500747914e-04	5.530605e-04	-2.200524e-03	8.292918e-04
5.776890625747914e-04	5.869683e-04	-2.336384e-03	8.292763e-04
5.825718750747914e-04	6.205306e-04	-2.470050e-03	8.292610e-04
5.874546875747914e-04	6.533045e-04	-2.601390e-03	8.292460e-04
5.923375000747914e-04	6.856706e-04	-2.730286e-03	8.292312e-04
