Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
15:10:28.855012,0.0,5.0,-5.96466e-11
15:10:30.708678,0.1,5.0,3.039589e-11
15:10:32.320493,0.2,5.0,1.490871e-10
15:10:33.921399,0.30000000000000004,5.0,2.233087e-10
15:10:35.536044,0.4,5.0,-5.385015e-11
15:10:37.148716,0.5,5.0,6.898196e-11
15:10:38.759743,0.6000000000000001,5.0,5.359788e-11
15:10:39.993692,0.7000000000000001,5.0,3.339361e-12
15:10:41.460618,0.8,5.0,1.240693e-10
15:10:42.697790,0.9,5.0,2.960143e-11
15:10:43.801054,1.0,5.0,-4.184071e-11
15:10:45.267625,1.1,5.0,4.834101e-11
15:10:46.872975,1.2000000000000002,5.0,8.047937e-10
15:10:48.106801,1.3,5.0,7.216635e-09
15:10:49.568032,1.4000000000000001,5.0,1.056946e-07
15:10:50.987335,1.5,5.0,1.234293e-06
15:10:52.404184,1.6,5.0,7.318686e-06
15:10:53.502278,1.7000000000000002,5.0,2.284698e-05
15:10:54.908570,1.8,5.0,4.919322e-05
15:10:56.008655,1.9000000000000001,5.0,8.608514e-05
15:10:57.105908,2.0,5.0,0.0001329239
15:10:58.508859,2.1,5.0,0.0001891303
15:10:59.605940,2.2,5.0,0.0002542389
15:11:00.706795,2.3000000000000003,5.0,0.0003273812
15:11:01.807975,2.4000000000000004,5.0,0.0004082662
15:11:02.905264,2.5,5.0,0.0004967772
15:11:04.004938,2.6,5.0,0.0005919305
15:11:05.100319,2.7,5.0,0.0006940885
15:11:06.195294,2.8000000000000003,5.0,0.0008021421
15:11:07.295719,2.9000000000000004,5.0,0.0009163095
15:11:08.393075,3.0,5.0,0.001036427
15:11:09.491972,3.1,5.0,0.001161825
15:11:10.826921,3.2,5.0,0.001292665
15:11:11.923211,3.3000000000000003,5.0,0.001428159
15:11:13.020037,3.4000000000000004,5.0,0.001568948
15:11:14.119411,3.5,5.0,0.001713833
15:11:15.219778,3.6,5.0,0.001863112
15:11:16.318313,3.7,5.0,0.00201715
15:11:17.417314,3.8000000000000003,5.0,0.002174737
15:11:18.517307,3.9000000000000004,5.0,0.002336685
15:11:19.617907,4.0,5.0,0.002502085
15:11:20.717695,4.1000000000000005,5.0,0.0026709
15:11:21.812565,4.2,5.0,0.002843827
15:11:22.911093,4.3,5.0,0.003019525
15:11:24.011597,4.4,5.0,0.003198895
15:11:25.112802,4.5,5.0,0.003380765
15:11:26.214928,4.6000000000000005,5.0,0.003566414
15:11:27.314154,4.7,5.0,0.003753991
15:11:28.415180,4.800000000000001,5.0,0.003944291
15:11:29.515758,4.9,5.0,0.004137862
15:11:30.618016,5.0,5.0,0.004333215
