Timestamp,Data point,I,V
2026-04-16 12:44:37.467720,0,-7.748061e-10,-1.0
2026-04-16 12:44:37.467720,1,-7.097111e-10,-0.9322033898305084
2026-04-16 12:44:37.467720,2,-7.301876e-10,-0.864406779661017
2026-04-16 12:44:37.467720,3,-6.670974e-10,-0.7966101694915254
2026-04-16 12:44:37.467720,4,-6.83104e-10,-0.728813559322034
2026-04-16 12:44:37.467720,5,-6.518692e-10,-0.6610169491525424
2026-04-16 12:44:37.467720,6,-6.478463e-10,-0.5932203389830508
2026-04-16 12:44:37.467720,7,-6.214438e-10,-0.5254237288135593
2026-04-16 12:44:37.467720,8,-5.890606e-10,-0.4576271186440678
2026-04-16 12:44:37.467720,9,-5.740521e-10,-0.38983050847457623
2026-04-16 12:44:37.467720,10,-5.533695e-10,-0.3220338983050848
2026-04-16 12:44:37.467720,11,-5.178907e-10,-0.2542372881355932
2026-04-16 12:44:37.467720,12,-4.531194e-10,-0.18644067796610164
2026-04-16 12:44:37.467720,13,-4.272563e-10,-0.11864406779661019
2026-04-16 12:44:37.467720,14,2.413544e-10,-0.05084745762711862
2026-04-16 12:44:37.467720,15,8.355791e-10,0.016949152542372836
2026-04-16 12:44:37.467720,16,2.735483e-09,0.0847457627118644
2026-04-16 12:44:37.467720,17,1.801095e-08,0.15254237288135597
2026-04-16 12:44:37.467720,18,9.945938e-08,0.22033898305084754
2026-04-16 12:44:37.467720,19,5.959424e-07,0.2881355932203389
2026-04-16 12:44:37.467720,20,3.345582e-06,0.35593220338983045
2026-04-16 12:44:37.467720,21,1.547321e-05,0.423728813559322
2026-04-16 12:44:37.467720,22,4.413268e-05,0.4915254237288136
2026-04-16 12:44:37.467720,23,8.571614e-05,0.5593220338983051
2026-04-16 12:44:37.467720,24,0.0001348433,0.6271186440677967
2026-04-16 12:44:37.467720,25,0.000188399,0.6949152542372881
2026-04-16 12:44:37.467720,26,0.0002448413,0.7627118644067796
2026-04-16 12:44:37.467720,27,0.0003032517,0.8305084745762712
2026-04-16 12:44:37.467720,28,0.000363054,0.8983050847457628
2026-04-16 12:44:37.467720,29,0.0004239503,0.9661016949152543
2026-04-16 12:44:37.467720,30,0.0004856922,1.0338983050847457
2026-04-16 12:44:37.467720,31,0.0005480811,1.1016949152542375
2026-04-16 12:44:37.467720,32,0.0006110702,1.1694915254237288
2026-04-16 12:44:37.467720,33,0.0006745213,1.2372881355932202
2026-04-16 12:44:37.467720,34,0.0007383912,1.305084745762712
2026-04-16 12:44:37.467720,35,0.0008025461,1.3728813559322033
2026-04-16 12:44:37.467720,36,0.0008669925,1.440677966101695
2026-04-16 12:44:37.467720,37,0.0009316821,1.5084745762711864
2026-04-16 12:44:37.467720,38,0.0009966458,1.5762711864406778
2026-04-16 12:44:37.467720,39,0.001061865,1.6440677966101696
2026-04-16 12:44:37.467720,40,0.001127181,1.711864406779661
2026-04-16 12:44:37.467720,41,0.001192698,1.7796610169491527
2026-04-16 12:44:37.467720,42,0.001258311,1.847457627118644
2026-04-16 12:44:37.467720,43,0.001324058,1.9152542372881354
2026-04-16 12:44:37.467720,44,0.001389917,1.9830508474576272
2026-04-16 12:44:37.467720,45,0.001455942,2.0508474576271185
2026-04-16 12:44:37.467720,46,0.001521828,2.1186440677966103
2026-04-16 12:44:37.467720,47,0.001588028,2.1864406779661016
2026-04-16 12:44:37.467720,48,0.001654032,2.2542372881355934
2026-04-16 12:44:37.467720,49,0.001720683,2.3220338983050848
2026-04-16 12:44:37.467720,50,0.001787097,2.389830508474576
2026-04-16 12:44:37.467720,51,0.001853244,2.457627118644068
2026-04-16 12:44:37.467720,52,0.001919795,2.5254237288135593
2026-04-16 12:44:37.467720,53,0.001986146,2.593220338983051
2026-04-16 12:44:37.467720,54,0.002053209,2.6610169491525424
2026-04-16 12:44:37.467720,55,0.002119876,2.7288135593220337
2026-04-16 12:44:37.467720,56,0.002186275,2.7966101694915255
2026-04-16 12:44:37.467720,57,0.002253463,2.864406779661017
2026-04-16 12:44:37.467720,58,0.002320084,2.9322033898305087
2026-04-16 12:44:37.467720,59,0.002387045,3.0
