Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
17:13:18.525531,0.0,3.5,-3.664927e-11
17:13:20.315342,0.25,3.5,1.687005e-11
17:13:22.101985,0.5,3.5,-4.252458e-11
17:13:23.893388,0.75,3.5,4.265726e-10
17:13:25.681467,1.0,3.5,7.707592e-11
17:13:27.468137,1.25,3.5,-3.789768e-12
17:13:29.258789,1.5,3.5,-2.334095e-11
17:13:31.043984,1.75,3.5,-1.921601e-11
17:13:32.834335,2.0,3.5,6.315511e-12
17:13:34.613080,2.25,3.5,3.359166e-11
17:13:36.402443,2.5,3.5,1.382448e-11
17:13:38.186967,2.75,3.5,-1.152604e-12
17:13:39.974363,3.0,3.5,-5.08853e-11
17:13:41.754442,3.25,3.5,-1.367913e-11
17:13:43.545906,3.5,3.5,5.037767e-12
