Timestamp,Data point,I,V
2026-04-17 14:41:10.125968,0,-6.698553e-10,-1.0
2026-04-17 14:41:10.125968,1,-6.232787e-10,-0.8974358974358975
2026-04-17 14:41:10.125968,2,-6.405389e-10,-0.7948717948717949
2026-04-17 14:41:10.125968,3,-6.303417e-10,-0.6923076923076923
2026-04-17 14:41:10.125968,4,-5.950578e-10,-0.5897435897435898
2026-04-17 14:41:10.125968,5,-5.372237e-10,-0.4871794871794872
2026-04-17 14:41:10.125968,6,-4.222254e-10,-0.3846153846153846
2026-04-17 14:41:10.125968,7,-3.901006e-10,-0.28205128205128205
2026-04-17 14:41:10.125968,8,-3.632843e-10,-0.17948717948717952
2026-04-17 14:41:10.125968,9,-3.169295e-10,-0.07692307692307698
2026-04-17 14:41:10.125968,10,3.621052e-10,0.02564102564102555
2026-04-17 14:41:10.125968,11,7.960756e-09,0.1282051282051282
2026-04-17 14:41:10.125968,12,1.740312e-07,0.23076923076923084
2026-04-17 14:41:10.125968,13,2.203006e-06,0.33333333333333326
2026-04-17 14:41:10.125968,14,2.113709e-05,0.4358974358974359
2026-04-17 14:41:10.125968,15,7.46748e-05,0.5384615384615383
2026-04-17 14:41:10.125968,16,0.000148591,0.641025641025641
2026-04-17 14:41:10.125968,17,0.0002317548,0.7435897435897436
2026-04-17 14:41:10.125968,18,0.0003199156,0.846153846153846
2026-04-17 14:41:10.125968,19,0.0004111383,0.9487179487179487
2026-04-17 14:41:10.125968,20,0.0005044757,1.051282051282051
2026-04-17 14:41:10.125968,21,0.0005992512,1.1538461538461537
2026-04-17 14:41:10.125968,22,0.0006951321,1.2564102564102564
2026-04-17 14:41:10.125968,23,0.000791858,1.358974358974359
2026-04-17 14:41:10.125968,24,0.0008893457,1.4615384615384617
2026-04-17 14:41:10.125968,25,0.0009873036,1.5641025641025639
2026-04-17 14:41:10.125968,26,0.001085789,1.6666666666666665
2026-04-17 14:41:10.125968,27,0.001184648,1.7692307692307692
2026-04-17 14:41:10.125968,28,0.00128383,1.8717948717948718
2026-04-17 14:41:10.125968,29,0.001383307,1.9743589743589745
2026-04-17 14:41:10.125968,30,0.001483009,2.0769230769230766
2026-04-17 14:41:10.125968,31,0.001582894,2.1794871794871793
2026-04-17 14:41:10.125968,32,0.001683003,2.282051282051282
2026-04-17 14:41:10.125968,33,0.001783297,2.3846153846153846
2026-04-17 14:41:10.125968,34,0.00188371,2.4871794871794872
2026-04-17 14:41:10.125968,35,0.001984289,2.5897435897435894
2026-04-17 14:41:10.125968,36,0.002085283,2.692307692307692
2026-04-17 14:41:10.125968,37,0.002186062,2.7948717948717947
2026-04-17 14:41:10.125968,38,0.002286997,2.8974358974358974
2026-04-17 14:41:10.125968,39,0.002387979,3.0
