Vds	V(vds)	V(vgs)	Id(M1)
Step Information: Vgs=2.5  (Step: 1/3)
2.700000000000000e+00	2.700000e+00	3.000000e+00	2.287617e-05
2.800000000000000e+00	2.800000e+00	3.000000e+00	2.295303e-05
2.900000000000000e+00	2.900000e+00	3.000000e+00	2.302787e-05
3.000000000000000e+00	3.000000e+00	3.000000e+00	2.310083e-05
3.100000000000000e+00	3.100000e+00	3.000000e+00	2.317204e-05
3.200000000000000e+00	3.200000e+00	3.000000e+00	2.324164e-05
3.300000000000000e+00	3.300000e+00	3.000000e+00	2.330973e-05
3.400000000000000e+00	3.400000e+00	3.000000e+00	2.337642e-05
3.500000000000000e+00	3.500000e+00	3.000000e+00	2.344179e-05
3.600000000000000e+00	3.600000e+00	3.000000e+00	2.350593e-05
3.700000000000000e+00	3.700000e+00	3.000000e+00	2.356891e-05
3.800000000000000e+00	3.800000e+00	3.000000e+00	2.363082e-05
3.900000000000000e+00	3.900000e+00	3.000000e+00	2.369171e-05
4.000000000000000e+00	4.000000e+00	3.000000e+00	2.375164e-05
4.100000000000001e+00	4.100000e+00	3.000000e+00	2.381067e-05
4.200000000000000e+00	4.200000e+00	3.000000e+00	2.386886e-05
4.300000000000000e+00	4.300000e+00	3.000000e+00	2.392624e-05
4.400000000000000e+00	4.400000e+00	3.000000e+00	2.398286e-05
4.500000000000000e+00	4.500000e+00	3.000000e+00	2.403876e-05
4.600000000000001e+00	4.600000e+00	3.000000e+00	2.409399e-05
4.700000000000000e+00	4.700000e+00	3.000000e+00	2.414857e-05
4.800000000000001e+00	4.800000e+00	3.000000e+00	2.420254e-05
4.900000000000000e+00	4.900000e+00	3.000000e+00	2.425593e-05
5.000000000000000e+00	5.000000e+00	3.000000e+00	2.430877e-05
Step Information: Vgs=3.5  (Step: 3/3)
0.000000000000000e+00	0.000000e+00	3.500000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	3.500000e+00	6.625281e-06
2.000000000000000e-01	2.000000e-01	3.500000e+00	1.258302e-05
3.000000000000000e-01	3.000000e-01	3.500000e+00	1.789271e-05
4.000000000000000e-01	4.000000e-01	3.500000e+00	2.257316e-05
5.000000000000000e-01	5.000000e-01	3.500000e+00	2.664255e-05
6.000000000000001e-01	6.000000e-01	3.500000e+00	3.011862e-05
7.000000000000001e-01	7.000000e-01	3.500000e+00	3.301892e-05
8.000000000000000e-01	8.000000e-01	3.500000e+00	3.536165e-05
9.000000000000000e-01	9.000000e-01	3.500000e+00	3.716799e-05
1.000000000000000e+00	1.000000e+00	3.500000e+00	3.847001e-05
1.100000000000000e+00	1.100000e+00	3.500000e+00	3.933443e-05
1.200000000000000e+00	1.200000e+00	3.500000e+00	3.989302e-05
1.300000000000000e+00	1.300000e+00	3.500000e+00	4.029628e-05
1.400000000000000e+00	1.400000e+00	3.500000e+00	4.063057e-05
1.500000000000000e+00	1.500000e+00	3.500000e+00	4.092822e-05
1.600000000000000e+00	1.600000e+00	3.500000e+00	4.120117e-05
1.700000000000000e+00	1.700000e+00	3.500000e+00	4.145489e-05
1.800000000000000e+00	1.800000e+00	3.500000e+00	4.169255e-05
1.900000000000000e+00	1.900000e+00	3.500000e+00	4.191634e-05
2.000000000000000e+00	2.000000e+00	3.500000e+00	4.212790e-05
2.100000000000000e+00	2.100000e+00	3.500000e+00	4.232859e-05
2.200000000000000e+00	2.200000e+00	3.500000e+00	4.251951e-05
2.300000000000000e+00	2.300000e+00	3.500000e+00	4.270162e-05
2.400000000000000e+00	2.400000e+00	3.500000e+00	4.287576e-05
2.500000000000000e+00	2.500000e+00	3.500000e+00	4.304262e-05
2.600000000000000e+00	2.600000e+00	3.500000e+00	4.320285e-05
2.700000000000000e+00	2.700000e+00	3.500000e+00	4.335701e-05
2.800000000000000e+00	2.800000e+00	3.500000e+00	4.350559e-05
2.900000000000000e+00	2.900000e+00	3.500000e+00	4.364904e-05
3.000000000000000e+00	3.000000e+00	3.500000e+00	4.378775e-05
3.100000000000000e+00	3.100000e+00	3.500000e+00	4.392207e-05
3.200000000000000e+00	3.200000e+00	3.500000e+00	4.405234e-05
3.300000000000000e+00	3.300000e+00	3.500000e+00	4.417884e-05
3.400000000000000e+00	3.400000e+00	3.500000e+00	4.430184e-05
3.500000000000000e+00	3.500000e+00	3.500000e+00	4.442157e-05
3.600000000000000e+00	3.600000e+00	3.500000e+00	4.453825e-05
3.700000000000000e+00	3.700000e+00	3.500000e+00	4.465208e-05
3.800000000000000e+00	3.800000e+00	3.500000e+00	4.476324e-05
3.900000000000000e+00	3.900000e+00	3.500000e+00	4.487191e-05
4.000000000000000e+00	4.000000e+00	3.500000e+00	4.497823e-05
4.100000000000001e+00	4.100000e+00	3.500000e+00	4.508234e-05
4.200000000000000e+00	4.200000e+00	3.500000e+00	4.518438e-05
4.300000000000000e+00	4.300000e+00	3.500000e+00	4.528446e-05
4.400000000000000e+00	4.400000e+00	3.500000e+00	4.538270e-05
4.500000000000000e+00	4.500000e+00	3.500000e+00	4.547920e-05
4.600000000000001e+00	4.600000e+00	3.500000e+00	4.557404e-05
4.700000000000000e+00	4.700000e+00	3.500000e+00	4.566733e-05
4.800000000000001e+00	4.800000e+00	3.500000e+00	4.575914e-05
4.900000000000000e+00	4.900000e+00	3.500000e+00	4.584955e-05
5.000000000000000e+00	5.000000e+00	3.500000e+00	4.593864e-05
